StateAB,State,CityID,City,Last_name,First_name,Full_name,MayorID,Twitter_handle,Twitter_website,Race_White,Race_Black,Race_Hispanic,Race_Other,Gender_Male,Gender_Female,Gender_CM,,
AL,Alabama,1,Alabaster,Handlon,Marty,Marty Handlon,1,MartyHandlon,twitter.com/martyhandlon,1,0,0,0,0,1,F,,
AL,Alabama,2,Auburn,Ham Jr.,Bill,Bill Ham Jr.,2,MayorHam,twitter.com/mayorham,1,0,0,0,1,0,M,,
AL,Alabama,3,Birmingham,Woodfin,Randall,Randall Woodfin,3,WoodfinForBham,twitter.com/woodfinforbham,0,1,0,0,1,0,M,,
AL,Alabama,4,Decatur,Bowling,Tab,Tab Bowling,4,tabbowling,twitter.com/tabbowling,1,0,0,0,1,0,M,,
AL,Alabama,5,Dothan,Saliba,Mark,Mark Saliba,5,N/A,N/A,1,0,0,0,1,0,M,,
AL,Alabama,6,Florence,Holt,Steve,Steve Holt,6,N/A,N/A,1,0,0,0,1,0,M,,
AL,Alabama,7,Gadsden,Guyton,Sherman,Sherman Guyton,7,MayorGuyton,twitter.com/MayorGuyton,1,0,0,0,1,0,M,,
AL,Alabama,8,Hoover,Brocato,Frank V.,Frank V. Brocato,8,hoovermayor,twitter.com/hoovermayor,1,0,0,0,1,0,M,,
AL,Alabama,9,Huntsville,Battle,Tommy,Tommy Battle,9,TommyBattle,twitter.com/TommyBattle,1,0,0,0,1,0,M,,
AL,Alabama,10,Madison,Finley,Paul,Paul Finley,10,finleyformayor,twitter.com/finleyformayor,1,0,0,0,1,0,M,,
AL,Alabama,11,Mobile,Stimpson,William 'Sandy' S.,William Stimpson,11,mayorstimpson,twitter.com/mayorstimpson,1,0,0,0,1,0,M,,
AL,Alabama,12,Montgomery,Strange,Todd,Todd Strange,12,montgomerymayor,twitter.com/montgomerymayor,1,0,0,0,1,0,M,,
AL,Alabama,13,Phenix City,Lowe,Eddie N.,Eddie N. Lowe,13,N/A,N/A,0,1,0,0,1,0,M,,
AL,Alabama,14,Prattville,Gillespie Jr.,William 'Bill' W.,William W. Gillespie Jr.,14,MayorBGJr,twitter.com/MayorBGJr,1,0,0,0,1,0,M,,
AL,Alabama,15,Tuscaloosa,Maddox,Walter,Walter Maddox,15,waltmaddox,twitter.com/waltmaddox,1,0,0,0,1,0,M,,
AL,Alabama,16,Vestavia Hills,Curry,Ashley C.,Ashley C. Curry,16,N/A,N/A,1,0,0,0,1,0,M,,
AK,Alaska,17,Anchorage,Berkowitz,Ethan,Ethan Berkowitz,17,mayorethananc,twitter.com/mayorethananc,1,0,0,0,1,0,M,,
AK,Alaska,18,Fairbanks,Matherly,Jim,Jim Matherly,18,jimmatherly,twitter.com/jimmatherly,1,0,0,0,1,0,M,,
AK,Alaska,19,Juneau,Koelsch,Ken,Ken Koelsch,19,N/A,N/A,1,0,0,0,1,0,M,,
AZ,Arizona,20,Apache Junction,Serdy,Jeff,Jeff Serdy,20,N/A,N/A,1,0,0,0,1,0,M,,
AZ,Arizona,21,Avondale,Weise,Kenn,Kenn Weise,21,MayorKenn,https://twitter.com/MayorKenn,1,0,0,0,1,0,M,,
AZ,Arizona,22,Buckeye,Meck,Jackie A.,Jackie A. Meck,22,mayormeck,twitter.com/mayormeck,1,0,0,0,1,0,M,,
AZ,Arizona,23,Bullhead City,Brady,Tom,Tom Brady,23,N/A,N/A,1,0,0,0,1,0,M,,
AZ,Arizona,24,Casa Grande,McFarland,Craig,Craig McFarland,24,craig4mayor,https://twitter.com/craig4mayor,1,0,0,0,1,0,M,,
AZ,Arizona,25,Chandler,Tibshraeny,Jay,Jay Tibshraeny,25,jaytibshraeny,twitter.com/jaytibshraeny,1,0,0,0,1,0,M,,
AZ,Arizona,26,El Mirage,Mook,Lana,Lana Mook,26,mookformayor,twitter.com/mookformayor,1,0,0,0,0,1,F,,
AZ,Arizona,27,Flagstaff,Evans,Coral,Coral Evans,27,N/A,N/A,0,1,0,0,0,1,F,,
