FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),under5,5to9,10to14,15to17,18to24,25to34,35to44,45to54,55to64,65to74,75to84,plus85,totalPop,white,black,nativeAm,asian,pacIsl,other,twomore,employed,unemployed,medhhinc,gini
1.01005E+11,"Aberdeen city, SD; Aberdeen, SD Micro Area","Aberdeen city, South Dakota (part); Aberdeen, Aberdeen",sd,7.05,6.4,6.2,3.64,12.03,15.28,10.92,10.8,12.1,6.71,5.61,3.25,27783,89.86,1.55,3.88,3.06,0.04,0.07,1.54,97.33,2.67,46330,0.4339
1.01405E+11,"Aberdeen city, WA; Aberdeen, WA Micro Area","Aberdeen city, Washington (part); Aberdeen, Aberdeen",wa,7.98,5.31,7.74,3.8,9.41,13.96,12.49,12.05,12.67,9.01,4.03,1.54,16335,87.78,0.54,4.16,0.88,1.18,2.17,3.28,91.35,8.65,40478,0.4495
1.01805E+11,"Abilene city, TX; Abilene, TX Metro Area","Abilene city, Texas (part); Abilene, Abilene",tx,7.13,6.76,5.66,3.36,16.22,16.21,10.97,10.98,10.08,6.64,4.2,1.78,122612,75.59,10.24,0.78,2.1,0.03,8.25,3.01,94.27,5.73,44108,0.4529
1.02204E+11,"Ada city, OK; Ada, OK Micro Area","Ada city, Oklahoma (part); Ada, Ada",ok,7.01,5.88,5.89,2.49,16.91,16.58,10.21,10.08,9.66,7.56,5.6,2.11,17240,67.9,3.83,7.1,1.11,0.03,0.6,19.43,93.44,6.56,34801,0.4676
1.02607E+11,"Adjuntas zona urbana, PR; Adjuntas, PR Micro Area","Adjuntas zona urbana, Puerto Rico (part); Adjuntas, Adjuntas",pr,6.45,7.17,8.91,3.08,10.09,9.26,13.24,13.35,11.18,9.87,6.29,1.12,4480,82.1,0.54,0.11,0,0,13.97,3.28,59.93,40.07,11389,0.6092
1.03003E+11,"Adrian city, MI; Adrian, MI Micro Area","Adrian city, Michigan (part); Adrian, Adrian",mi,5.49,6.49,5.61,3.76,18.79,11.98,10.71,10.21,10.38,8.25,5.02,3.31,20800,85.76,6.7,0.38,0.25,0.12,3.79,2.98,88.9,11.1,33921,0.4693
1.03807E+11,"Aguadilla zona urbana, PR; Aguadilla-Isabela, PR Metro Area","Aguadilla zona urbana, Puerto Rico (part); Aguadilla-Isabela, Aguadilla-Isabela",pr,6.23,6.27,6.31,3.92,8.17,11.94,10.7,11.23,13.09,11.8,7.91,2.42,11314,72.56,4.7,0.14,1.58,0,8.91,12.11,70.27,29.73,11382,0.6237
1.03807E+11,"Isabela zona urbana, PR; Aguadilla-Isabela, PR Metro Area","Isabela zona urbana, Puerto Rico (part); Aguadilla-Isabela, Aguadilla-Isabela",pr,5.19,2.83,6.85,5.42,11.05,9.95,14.55,11.34,13.56,11.33,5.23,2.7,11135,74.02,5.98,0.11,0,0,18.18,1.72,77.58,22.42,14724,0.5623
1.04204E+11,"Akron city, OH; Akron, OH Metro Area","Akron city, Ohio (part); Akron, Akron",oh,6.53,5.89,5.77,3.44,11.83,14.41,12,13.01,13.52,7.7,3.83,2.07,198508,61.05,30.47,0.23,3.59,0.03,0.52,4.12,88.84,11.16,35240,0.4727
1.04604E+11,"Alamogordo city, NM; Alamogordo, NM Micro Area","Alamogordo city, New Mexico (part); Alamogordo, Alamogordo",nm,7.08,7.52,4.76,3.26,11.78,14.17,11.31,11.83,11.51,9.21,5.61,1.96,31201,78.06,5,1.64,2.02,0.14,7.9,5.24,91.42,8.58,46364,0.4309
1.05001E+11,"Albany city, GA; Albany, GA Metro Area","Albany city, Georgia (part); Albany, Albany",ga,7.45,6.54,7.71,4.17,13.18,13.83,11.91,11.59,11.09,7,3.66,1.86,75657,23.93,72.26,0.18,0.95,0.03,0.91,1.73,81.96,18.04,31263,0.521
1.05404E+11,"Albany city, OR (part); Albany, OR Metro Area","Albany city, Oregon (part); Albany, Albany",or,6.52,8.19,5.89,4.08,9.38,16.05,12.71,12.2,11.35,7.88,3.78,1.97,44885,88.58,1.06,1.61,2.04,0.08,3.41,3.23,89.41,10.59,45713,0.4394
1.05804E+11,"Albany city, NY; Albany-Schenectady-Troy, NY Metro Area","Albany city, New York (part); Albany-Schenectady-Troy, Albany-Schenectady-Troy",ny,5.45,4.69,4.32,2.24,22.42,16.46,10.63,11.15,10.35,6.39,3.34,2.55,98425,55.63,29.9,0.28,6.67,0.04,2.46,5.01,92.5,7.5,42335,0.4958
1.05804E+11,"Schenectady city, NY; Albany-Schenectady-Troy, NY Metro Area","Schenectady city, New York (part); Albany-Schenectady-Troy, Albany-Schenectady-Troy",ny,6.26,5.77,5.6,3.59,12.03,15.62,12.72,13.26,12.1,6.99,3.33,2.73,65554,59.51,20.56,0.47,5.85,0.05,7.51,6.04,89.96,10.04,41243,0.4445
1.05804E+11,"Troy city, NY; Albany-Schenectady-Troy, NY Metro Area","Troy city, New York (part); Albany-Schenectady-Troy, Albany-Schenectady-Troy",ny,6.04,5.83,4.72,2.77,19.25,18.33,10.27,10.67,10.69,6.22,3.15,2.06,49881,71.45,15.98,0.12,3.91,0,1.36,7.19,90.08,9.92,39847,0.455
1.06204E+11,"Albemarle city, NC; Albemarle, NC Micro Area","Albemarle city, North Carolina (part); Albemarle, Albemarle",nc,5.64,5.74,6.37,4.05,8.92,11.09,12.91,13.23,13.82,9.89,5.5,2.84,15968,72.44,19.53,0.46,2.2,0.09,1.82,3.46,89.38,10.62,34863,0.4708
1.06603E+11,"Albert Lea city, MN; Albert Lea, MN Micro Area","Albert Lea city, Minnesota (part); Albert Lea, Albert Lea",mn,4.89,6.13,5.73,3.81,7.59,11.79,10.84,12.79,12.57,10.42,7.66,5.78,17775,92.9,2.09,0.4,1.83,0.04,1.22,1.52,94.89,5.11,42128,0.4206
